"","Copayment","Budget_impact_alt","ci_low_alt","ci_high_alt"
"1",0,20198547.0475182,15936100.2916785,25367005.838115
"2",30,19452906.0963541,15289543.6763839,24519915.369167
"3",60,18708301.9192771,14642165.5178366,23673518.9936099
"4",90,17964945.9962869,13995315.2119976,22825365.4713601
"5",120,17223068.5500821,13350349.7904719,21978969.5183424
"6",150,16482916.0875306,12707197.2025866,21132875.0560577
"7",180,15744748.6044474,12066671.1117698,20289471.5861268
"8",210,15008837.9942718,11427364.5443204,19446621.5364757
"9",240,14275467.6859351,10791070.4676672,18603219.8909226
"10",270,13544932.7072609,10156822.5229963,17766266.3767089
"11",300,12817540.5058832,9526331.24291158,16937139.1400512
"12",330,12093614.5867576,8899978.75541245,16108370.6063421
"13",360,11373501.5513417,8353955.1771764,15281475.224422
"14",390,10657576.8450806,7812551.61369583,14461965.6005239
"15",420,9946241.47149497,7276839.64819356,13647740.5948062
"16",450,9303341.10656367,6746855.52448453,12839082.6457574
"17",480,8700299.11587522,6220491.966095,12035793.1861329
"18",510,8101870.94355334,5698896.27546107,11235909.8070215
"19",540,7508370.76272755,5180951.35375031,10490534.8823981
"20",570,6920103.51147514,4667145.63729912,9827045.1417545
"21",600,6337375.02335088,4159825.12022866,9169184.53537976
"22",630,5760498.69175251,3657509.84250585,8515592.36955714
"23",660,5189796.62363527,3162413.31619435,7865952.68762432
"24",690,4625594.41410494,2671103.25406018,7222388.97769604
"25",720,4068208.54120151,2188408.17361863,6588733.75800655
"26",750,3517927.30184492,1710939.42431435,5960173.05616381
"27",780,2974990.76701274,1240408.43026737,5341627.03482915
"28",810,2439578.29406214,777336.04385436,4726257.58671351
"29",840,1911809.18916493,321334.929273397,4123604.24590937
"30",870,1442177.40947334,0,3559736.32266563
"31",900,1094905.53243297,0,3165464.87565686
"32",930,752708.074876518,0,2777043.54452695
"33",960,415604.81953927,0,2393454.59389002
"34",990,83609.7265580413,0,2016350.50335216
"35",1020,0,0,1644876.28127194
"36",1050,0,0,1278497.95027172
"37",1080,0,0,917177.750564667
"38",1110,0,0,560767.349050192
"39",1140,0,0,210150.156119231
"40",1170,0,0,0
"41",1200,0,0,0
