"","Policy","Copayment","individual_low","individual_high","couple_low","couple_high","Scenario","Budget_impact","ci_low","ci_high"
"1","Basic screening",0,3421176.05262528,5764115.87831331,2831481.2187836,5026472.10948295,"Individual decision",4579636.31806747,3421176.05262528,5764115.87831331
"2","Basic screening",0,3421176.05262528,5764115.87831331,2831481.2187836,5026472.10948295,"Shared decision (p²)",3895249.27515943,2831481.2187836,5026472.10948295
"3","Pilot continuation",0,18399864.7028425,19369356.2572979,15746117.9962337,17351712.7422438,"Individual decision",18876315.2079544,18399864.7028425,19369356.2572979
"4","Pilot continuation",0,18399864.7028425,19369356.2572979,15746117.9962337,17351712.7422438,"Shared decision (p²)",16554888.4326088,15746117.9962337,17351712.7422438
"5","Utility-maximising",0,19028810.2442164,26586474.4039338,16800718.0558595,24411814.3454518,"Individual decision",22487058.6616352,19028810.2442164,26586474.4039338
"6","Utility-maximising",0,19028810.2442164,26586474.4039338,16800718.0558595,24411814.3454518,"Shared decision (p²)",20274784.82407,16800718.0558595,24411814.3454518
"7","Basic screening",30,2786198.35630824,5087805.81946686,2294216.52069107,4417358.8819011,"Individual decision",3923353.82444516,2786198.35630824,5087805.81946686
"8","Basic screening",30,2786198.35630824,5087805.81946686,2294216.52069107,4417358.8819011,"Shared decision (p²)",3321496.05072315,2294216.52069107,4417358.8819011
"9","Pilot continuation",30,17681951.6196898,18631814.1734036,15066916.1711133,16632377.8161973,"Individual decision",18146817.6182191,17681951.6196898,18631814.1734036
"10","Pilot continuation",30,17681951.6196898,18631814.1734036,15066916.1711133,16632377.8161973,"Shared decision (p²)",15852441.3799283,15066916.1711133,16632377.8161973
"11","Utility-maximising",30,18297779.7875492,25816235.3823595,16094725.3323099,23629901.1357597,"Individual decision",21736561.8392163,18297779.7875492,25816235.3823595
"12","Utility-maximising",30,18297779.7875492,25816235.3823595,16094725.3323099,23629901.1357597,"Shared decision (p²)",19531375.9771692,16094725.3323099,23629901.1357597
"13","Basic screening",60,2156693.60986436,4417184.54939896,1766092.3691223,3818293.62792373,"Individual decision",3272333.66321668,2156693.60986436,4417184.54939896
"14","Basic screening",60,2156693.60986436,4417184.54939896,1766092.3691223,3818293.62792373,"Shared decision (p²)",2756804.01940789,1766092.3691223,3818293.62792373
"15","Pilot continuation",60,16963195.9603802,17895880.8752695,14386884.8501791,15916348.4383229,"Individual decision",17419060.5708265,16963195.9603802,17895880.8752695
"16","Pilot continuation",60,16963195.9603802,17895880.8752695,14386884.8501791,15916348.4383229,"Shared decision (p²)",15153555.0391474,14386884.8501791,15916348.4383229
"17","Utility-maximising",60,17568025.3800089,25047781.7884317,15391458.2525265,22851743.3744507,"Individual decision",20987614.0891871,17568025.3800089,25047781.7884317
"18","Utility-maximising",60,17568025.3800089,25047781.7884317,15391458.2525265,22851743.3744507,"Shared decision (p²)",18791226.3281841,15391458.2525265,22851743.3744507
"19","Basic screening",90,1533658.9909005,3751771.1833128,1248676.12371008,3228383.9719708,"Individual decision",2626962.5949529,1533658.9909005,3751771.1833128
"20","Basic screening",90,1533658.9909005,3751771.1833128,1248676.12371008,3228383.9719708,"Shared decision (p²)",2201767.97359229,1248676.12371008,3228383.9719708
"21","Pilot continuation",90,16247961.1464301,17161798.3079958,13713480.4102899,15204070.5239012,"Individual decision",16693396.6537346,16247961.1464301,17161798.3079958
"22","Pilot continuation",90,16247961.1464301,17161798.3079958,13713480.4102899,15204070.5239012,"Shared decision (p²)",14458861.5349233,13713480.4102899,15204070.5239012
"23","Utility-maximising",90,16843114.8316989,24280869.3843179,14697170.9035971,22076905.0725261,"Individual decision",20240529.4020171,16843114.8316989,24280869.3843179
"24","Utility-maximising",90,16843114.8316989,24280869.3843179,14697170.9035971,22076905.0725261,"Shared decision (p²)",18054912.4439025,14697170.9035971,22076905.0725261
"25","Basic screening",120,917342.289516471,3091243.90185405,742285.918971952,2647025.45431946,"Individual decision",1987637.61988873,917342.289516471,3091243.90185405
"26","Basic screening",120,917342.289516471,3091243.90185405,742285.918971952,2647025.45431946,"Shared decision (p²)",1656987.43798279,742285.918971952,2647025.45431946
"27","Pilot continuation",120,15535283.4513764,16430251.1310135,13045073.5559983,14496767.7609752,"Individual decision",15970200.5170312,15535283.4513764,16430251.1310135
"28","Pilot continuation",120,15535283.4513764,16430251.1310135,13045073.5559983,14496767.7609752,"Shared decision (p²)",13769024.1822897,13045073.5559983,14496767.7609752
"29","Utility-maximising",120,16118194.810909,23513188.7894129,14003382.370417,21301216.2939038,"Individual decision",19495593.8616605,16118194.810909,23513188.7894129
"30","Utility-maximising",120,16118194.810909,23513188.7894129,14003382.370417,21301216.2939038,"Shared decision (p²)",17322955.4533274,14003382.370417,21301216.2939038
"31","Basic screening",150,308528.832280078,2436215.69314174,248095.582833812,2075218.79685882,"Individual decision",1354762.24321434,308528.832280078,2436215.69314174
"32","Basic screening",150,308528.832280078,2436215.69314174,248095.582833812,2075218.79685882,"Shared decision (p²)",1123059.33524431,248095.582833812,2075218.79685882
"33","Pilot continuation",150,14825459.7516838,15703090.3239636,12382177.6557767,13797696.3934309,"Individual decision",15249854.232079,14825459.7516838,15703090.3239636
"34","Pilot continuation",150,14825459.7516838,15703090.3239636,12382177.6557767,13797696.3934309,"Shared decision (p²)",13084710.9015076,12382177.6557767,13797696.3934309
"35","Utility-maximising",150,15398600.5379808,22747890.155642,13319386.064149,20530427.2584069,"Individual decision",18753067.7241389,15398600.5379808,22747890.155642
"36","Utility-maximising",150,15398600.5379808,22747890.155642,13319386.064149,20530427.2584069,"Shared decision (p²)",16595825.2925393,13319386.064149,20530427.2584069
"37","Basic screening",180,0,1788067.87161127,0,1515247.04955965,"Individual decision",728742.084347641,0,1788067.87161127
"38","Basic screening",180,0,1788067.87161127,0,1515247.04955965,"Shared decision (p²)",600569.732985673,0,1515247.04955965
"39","Pilot continuation",180,14118312.3700672,14975058.1698666,11724511.9947653,13097621.6694496,"Individual decision",14532736.9415164,14118312.3700672,14975058.1698666
"40","Pilot continuation",180,14118312.3700672,14975058.1698666,11724511.9947653,13097621.6694496,"Shared decision (p²)",12406575.6033665,11724511.9947653,13097621.6694496
"41","Utility-maximising",180,14681677.3659783,21983618.0049875,12640554.0033448,19762104.4411107,"Individual decision",18013196.7659157,14681677.3659783,21983618.0049875
"42","Utility-maximising",180,14681677.3659783,21983618.0049875,12640554.0033448,19762104.4411107,"Shared decision (p²)",15873961.3040401,12640554.0033448,19762104.4411107
"43","Basic screening",210,0,1146208.97827127,0,966018.514018622,"Individual decision",109978.337680922,0,1146208.97827127
"44","Basic screening",210,0,1146208.97827127,0,966018.514018622,"Shared decision (p²)",90082.301319592,0,966018.514018622
"45","Pilot continuation",210,13415787.6146084,14252119.1378576,11075315.260992,12407020.612178,"Individual decision",13819225.4932587,13415787.6146084,14252119.1378576
"46","Pilot continuation",210,13415787.6146084,14252119.1378576,11075315.260992,12407020.612178,"Shared decision (p²)",11735258.7496512,11075315.260992,12407020.612178
"47","Utility-maximising",210,13967181.9531901,21224231.4239718,11966477.1714158,19003193.224838,"Individual decision",17276225.8255191,13967181.9531901,21224231.4239718
"48","Utility-maximising",210,13967181.9531901,21224231.4239718,11966477.1714158,19003193.224838,"Shared decision (p²)",15157796.2631267,11966477.1714158,19003193.224838
"49","Basic screening",240,0,511224.983402034,0,428437.079164781,"Individual decision",0,0,511224.983402034
"50","Basic screening",240,0,511224.983402034,0,428437.079164781,"Shared decision (p²)",0,0,428437.079164781
"51","Pilot continuation",240,12717478.5069518,13534658.2184623,10433891.9050016,11726510.631209,"Individual decision",13109708.9117627,12717478.5069518,13534658.2184623
"52","Pilot continuation",240,12717478.5069518,13534658.2184623,10433891.9050016,11726510.631209,"Shared decision (p²)",11071411.265526,10433891.9050016,11726510.631209
"53","Utility-maximising",240,13255965.676075,20466415.0400954,11298625.5956808,18247733.9698516,"Individual decision",16542408.2710523,13255965.676075,20466415.0400954
"54","Utility-maximising",240,13255965.676075,20466415.0400954,11298625.5956808,18247733.9698516,"Shared decision (p²)",14447772.6994509,11298625.5956808,18247733.9698516
"55","Basic screening",270,0,0,0,0,"Individual decision",0,0,0
"56","Basic screening",270,0,0,0,0,"Shared decision (p²)",0,0,0
"57","Pilot continuation",270,12021131.7989125,12819219.3440087,9796557.31932592,11050073.7369992,"Individual decision",12404610.021592,12021131.7989125,12819219.3440087
"58","Pilot continuation",270,12021131.7989125,12819219.3440087,9796557.31932592,11050073.7369992,"Shared decision (p²)",10415729.63238,9796557.31932592,11050073.7369992
"59","Utility-maximising",270,12547129.955022,19712247.7722307,10635476.8044254,17499445.8348867,"Individual decision",15812010.2250884,12547129.955022,19712247.7722307
"60","Utility-maximising",270,12547129.955022,19712247.7722307,10635476.8044254,17499445.8348867,"Shared decision (p²)",13744349.6414205,10635476.8044254,17499445.8348867
"61","Basic screening",300,0,0,0,0,"Individual decision",0,0,0
"62","Basic screening",300,0,0,0,0,"Shared decision (p²)",0,0,0
"63","Pilot continuation",300,11330174.4123067,12107643.896857,9168928.60110065,10380901.5459219,"Individual decision",11704398.926354,11330174.4123067,12107643.896857
"64","Pilot continuation",300,11330174.4123067,12107643.896857,9168928.60110065,10380901.5459219,"Shared decision (p²)",9768976.0156124,9168928.60110065,10380901.5459219
"65","Utility-maximising",300,11843514.3422695,18961480.7408266,9981849.13963607,16757871.3219456,"Individual decision",15085312.5812722,11843514.3422695,18961480.7408266
"66","Utility-maximising",300,11843514.3422695,18961480.7408266,9981849.13963607,16757871.3219456,"Shared decision (p²)",13048005.2906183,9981849.13963607,16757871.3219456
"67","Basic screening",330,0,0,0,0,"Individual decision",0,0,0
"68","Basic screening",330,0,0,0,0,"Shared decision (p²)",0,0,0
"69","Pilot continuation",330,10647044.5461569,11400681.2095555,8554885.40414445,9720260.62974987,"Individual decision",11009584.9588614,10647044.5461569,11400681.2095555
"70","Pilot continuation",330,10647044.5461569,11400681.2095555,8554885.40414445,9720260.62974987,"Shared decision (p²)",9131961.66494131,8554885.40414445,9720260.62974987
"71","Utility-maximising",330,11146263.103286,18216293.4362533,9339613.85120793,16026835.0724969,"Individual decision",14362612.3703878,11146263.103286,18216293.4362533
"72","Utility-maximising",330,11146263.103286,18216293.4362533,9339613.85120793,16026835.0724969,"Shared decision (p²)",12359238.4173825,9339613.85120793,16026835.0724969
"73","Basic screening",360,0,0,0,0,"Individual decision",0,0,0
"74","Basic screening",360,0,0,0,0,"Shared decision (p²)",0,0,0
"75","Pilot continuation",360,9969852.68217945,10699248.1198284,7951292.27419776,9069675.92724151,"Individual decision",10320687.2007176,9969852.68217945,10699248.1198284
"76","Pilot continuation",360,9969852.68217945,10699248.1198284,7951292.27419776,9069675.92724151,"Shared decision (p²)",8505495.28618918,7951292.27419776,9069675.92724151
"77","Utility-maximising",360,10452915.1173266,17473454.5139655,8704592.42095682,15300615.5473843,"Individual decision",13644220.5374748,10452915.1173266,17473454.5139655
"78","Utility-maximising",360,10452915.1173266,17473454.5139655,8704592.42095682,15300615.5473843,"Shared decision (p²)",11678563.4751111,8704592.42095682,15300615.5473843
"79","Basic screening",390,0,0,0,0,"Individual decision",0,0,0
"80","Basic screening",390,0,0,0,0,"Shared decision (p²)",0,0,0
"81","Pilot continuation",390,9300856.67392404,10005523.4710044,7361670.69902265,8432765.38188276,"Individual decision",9638197.55150087,9300856.67392404,10005523.4710044
"82","Pilot continuation",390,9300856.67392404,10005523.4710044,7361670.69902265,8432765.38188276,"Shared decision (p²)",7890321.00294464,7361670.69902265,8432765.38188276
"83","Utility-maximising",390,9766785.57019684,16732416.3311358,8082270.15611744,14578277.7610853,"Individual decision",12930453.6853358,9766785.57019684,16732416.3311358
"84","Utility-maximising",390,9766785.57019684,16732416.3311358,8082270.15611744,14578277.7610853,"Shared decision (p²)",11006495.4990998,8082270.15611744,14578277.7610853
"85","Basic screening",420,0,0,0,0,"Individual decision",0,0,0
"86","Basic screening",420,0,0,0,0,"Shared decision (p²)",0,0,0
"87","Pilot continuation",420,8638911.07575963,9315535.30106961,6784088.63918439,7802755.15050802,"Individual decision",8962552.7081377,8638911.07575963,9315535.30106961
"88","Pilot continuation",420,8638911.07575963,9315535.30106961,6784088.63918439,7802755.15050802,"Shared decision (p²)",7287073.29633369,6784088.63918439,7802755.15050802
"89","Utility-maximising",420,9085007.97112148,15995582.1591325,7467830.36228202,13864026.8440378,"Individual decision",12221624.4944864,9085007.97112148,15995582.1591325
"90","Utility-maximising",420,9085007.97112148,15995582.1591325,7467830.36228202,13864026.8440378,"Shared decision (p²)",10343533.1870822,7467830.36228202,13864026.8440378
"91","Basic screening",450,0,0,0,0,"Individual decision",0,0,0
"92","Basic screening",450,0,0,0,0,"Shared decision (p²)",0,0,0
"93","Pilot continuation",450,7984062.29591647,8633335.70473398,6218529.31873888,7186395.07417476,"Individual decision",8294123.0230523,7984062.29591647,8633335.70473398
"94","Pilot continuation",450,7984062.29591647,8633335.70473398,6218529.31873888,7186395.07417476,"Shared decision (p²)",6696261.27518962,6218529.31873888,7186395.07417476
"95","Utility-maximising",450,8410123.33239463,15267928.5610469,6865414.52453337,13166422.5008704,"Individual decision",11518040.4598996,8410123.33239463,15267928.5610469
"96","Utility-maximising",450,8410123.33239463,15267928.5610469,6865414.52453337,13166422.5008704,"Shared decision (p²)",9690156.52666881,6865414.52453337,13166422.5008704
"97","Basic screening",480,0,0,0,0,"Individual decision",0,0,0
"98","Basic screening",480,0,0,0,0,"Shared decision (p²)",0,0,0
"99","Pilot continuation",480,7338410.90312314,7957359.37639541,5668149.54441547,6580974.4661099,"Individual decision",7633217.47354814,7338410.90312314,7957359.37639541
"100","Pilot continuation",480,7338410.90312314,7957359.37639541,5668149.54441547,6580974.4661099,"Shared decision (p²)",6118279.78542781,5668149.54441547,6580974.4661099
"101","Utility-maximising",480,7742933.04347721,14541871.6227159,6276231.947677,12472297.236998,"Individual decision",10820015.5443765,7742933.04347721,14541871.6227159
"102","Utility-maximising",480,7742933.04347721,14541871.6227159,6276231.947677,12472297.236998,"Shared decision (p²)",9046846.11950178,6276231.947677,12472297.236998
"103","Basic screening",510,0,0,0,0,"Individual decision",0,0,0
"104","Basic screening",510,0,0,0,0,"Shared decision (p²)",0,0,0
"105","Pilot continuation",510,6702080.04795294,7290390.4066176,5132969.29815069,5990997.53430164,"Individual decision",6980100.73625998,6702080.04795294,7290390.4066176
"106","Pilot continuation",510,6702080.04795294,7290390.4066176,5132969.29815069,5990997.53430164,"Shared decision (p²)",5553439.66987217,5132969.29815069,5990997.53430164
"107","Utility-maximising",510,7082510.06721394,13820230.0853573,5698674.08039793,11786512.291652,"Individual decision",10127888.5827713,7082510.06721394,13820230.0853573
"108","Utility-maximising",510,7082510.06721394,13820230.0853573,5698674.08039793,11786512.291652,"Shared decision (p²)",8414113.00140974,5698674.08039793,11786512.291652
"109","Basic screening",540,0,0,0,0,"Individual decision",0,0,0
"110","Basic screening",540,0,0,0,0,"Shared decision (p²)",0,0,0
"111","Pilot continuation",540,6071323.42159407,6630234.74515547,4607127.84784528,5412721.61548262,"Individual decision",6335017.16604239,6071323.42159407,6630234.74515547
"112","Pilot continuation",540,6071323.42159407,6630234.74515547,4607127.84784528,5412721.61548262,"Shared decision (p²)",5002007.90144656,4607127.84784528,5412721.61548262
"113","Utility-maximising",540,6429422.10629238,13105164.4121953,5133565.46578368,11112708.5575301,"Individual decision",9442036.4080708,6429422.10629238,13105164.4121953
"114","Utility-maximising",540,6429422.10629238,13105164.4121953,5133565.46578368,11112708.5575301,"Shared decision (p²)",7792518.50946971,5133565.46578368,11112708.5575301
"115","Basic screening",570,0,0,0,0,"Individual decision",0,0,0
"116","Basic screening",570,0,0,0,0,"Shared decision (p²)",0,0,0
"117","Pilot continuation",570,5450089.96059523,5977120.25902524,4096547.93187185,4846426.72177188,"Individual decision",5698213.53181779,5450089.96059523,5977120.25902524
"118","Pilot continuation",570,5450089.96059523,5977120.25902524,4096547.93187185,4846426.72177188,"Shared decision (p²)",4464244.14609421,4096547.93187185,4846426.72177188
"119","Utility-maximising",570,5784014.88156332,12393531.4881547,4581353.56651623,10445501.8416638,"Individual decision",8762873.34256659,5784014.88156332,12393531.4881547
"120","Utility-maximising",570,5784014.88156332,12393531.4881547,4581353.56651623,10445501.8416638,"Shared decision (p²)",7182670.79588916,4581353.56651623,10445501.8416638
"121","Basic screening",600,0,0,0,0,"Individual decision",0,0,0
"122","Basic screening",600,0,0,0,0,"Shared decision (p²)",0,0,0
"123","Pilot continuation",600,4840113.16452987,5332781.95435632,3603632.22777678,4294811.13258491,"Individual decision",5069950.6704204,4840113.16452987,5332781.95435632
"124","Pilot continuation",600,4840113.16452987,5332781.95435632,3603632.22777678,4294811.13258491,"Shared decision (p²)",3940418.46194496,3603632.22777678,4294811.13258491
"125","Utility-maximising",600,5147723.49818721,11692080.4438575,4044182.2391767,9796211.73980339,"Individual decision",8090837.3266782,5147723.49818721,11692080.4438575
"126","Utility-maximising",600,5147723.49818721,11692080.4438575,4044182.2391767,9796211.73980339,"Shared decision (p²)",6585199.46205537,4044182.2391767,9796211.73980339
"127","Basic screening",630,0,0,0,0,"Individual decision",0,0,0
"128","Basic screening",630,0,0,0,0,"Shared decision (p²)",0,0,0
"129","Pilot continuation",630,4240199.50477641,4694820.59046238,3126367.75306042,3753883.72614485,"Individual decision",4450499.03610142,4240199.50477641,4694820.59046238
"130","Pilot continuation",630,4240199.50477641,4694820.59046238,3126367.75306042,3753883.72614485,"Shared decision (p²)",3430803.276675,3126367.75306042,3753883.72614485
"131","Utility-maximising",630,4519931.88620303,10996516.8330017,3520926.03896962,9157491.97810614,"Individual decision",7426368.96152864,4519931.88620303,10996516.8330017
"132","Utility-maximising",630,4519931.88620303,10996516.8330017,3520926.03896962,9157491.97810614,"Shared decision (p²)",6000719.583483,3520926.03896962,9157491.97810614
"133","Basic screening",660,0,0,0,0,"Individual decision",0,0,0
"134","Basic screening",660,0,0,0,0,"Shared decision (p²)",0,0,0
"135","Pilot continuation",660,3651098.39467095,4065981.04125009,2665647.35291299,3227930.77909932,"Individual decision",3840122.79960911,3651098.39467095,4065981.04125009
"136","Pilot continuation",660,3651098.39467095,4065981.04125009,2665647.35291299,3227930.77909932,"Shared decision (p²)",2935648.16390966,2665647.35291299,3227930.77909932
"137","Utility-maximising",660,3902278.37853644,10305768.8757769,3013975.1820753,8527505.56895692,"Individual decision",6769889.63103448,3902278.37853644,10305768.8757769
"138","Utility-maximising",660,3902278.37853644,10305768.8757769,3013975.1820753,8527505.56895692,"Shared decision (p²)",5429795.71542189,3013975.1820753,8527505.56895692
"139","Basic screening",690,0,0,0,0,"Individual decision",0,0,0
"140","Basic screening",690,0,0,0,0,"Shared decision (p²)",0,0,0
"141","Pilot continuation",690,3071619.60058203,3446135.24351929,2219516.77433166,2716584.67492837,"Individual decision",3239062.89019041,3071619.60058203,3446135.24351929
"142","Pilot continuation",690,3071619.60058203,3446135.24351929,2219516.77433166,2716584.67492837,"Shared decision (p²)",2455154.24193419,2219516.77433166,2716584.67492837
"143","Utility-maximising",690,3294582.49389308,9623833.69391777,2522847.78620352,7912797.7363611,"Individual decision",6121781.19224804,3294582.49389308,9623833.69391777
"144","Utility-maximising",690,3294582.49389308,9623833.69391777,2522847.78620352,7912797.7363611,"Shared decision (p²)",4872910.04288746,2522847.78620352,7912797.7363611
"145","Basic screening",720,0,0,0,0,"Individual decision",0,0,0
"146","Basic screening",720,0,0,0,0,"Shared decision (p²)",0,0,0
"147","Pilot continuation",720,2504180.08756221,2833220.10903597,1791252.56416271,2216455.30228806,"Individual decision",2647526.03578634,2504180.08756221,2833220.10903597
"148","Pilot continuation",720,2504180.08756221,2833220.10903597,1791252.56416271,2216455.30228806,"Shared decision (p²)",1989458.95351923,1791252.56416271,2216455.30228806
"149","Utility-maximising",720,2696579.01095017,8946728.47589054,2046942.87481652,7306708.07625071,"Individual decision",5482367.40521952,2696579.01095017,8946728.47589054
"150","Utility-maximising",720,2696579.01095017,8946728.47589054,2046942.87481652,7306708.07625071,"Shared decision (p²)",4330434.90527351,2046942.87481652,7306708.07625071
"151","Basic screening",750,0,0,0,0,"Individual decision",0,0,0
"152","Basic screening",750,0,0,0,0,"Shared decision (p²)",0,0,0
"153","Pilot continuation",750,1947517.3100128,2229995.55609654,1378779.25720248,1731739.53695117,"Individual decision",2065679.76592675,1947517.3100128,2229995.55609654
"154","Pilot continuation",750,1947517.3100128,2229995.55609654,1378779.25720248,1731739.53695117,"Shared decision (p²)",1538630.663576,1378779.25720248,1731739.53695117
"155","Utility-maximising",750,2108023.74990201,8278760.15714215,1585705.39193601,6716200.14914974,"Individual decision",4851898.77677268,2108023.74990201,8278760.15714215
"156","Utility-maximising",750,2108023.74990201,8278760.15714215,1585705.39193601,6716200.14914974,"Shared decision (p²)",3802612.21727995,1585705.39193601,6716200.14914974
"157","Basic screening",780,0,0,0,0,"Individual decision",0,0,0
"158","Basic screening",780,0,0,0,0,"Shared decision (p²)",0,0,0
"159","Pilot continuation",780,1402420.06175086,1635009.7814633,982970.132321447,1260013.51347877,"Individual decision",1493650.47135599,1402420.06175086,1635009.7814633
"160","Pilot continuation",780,1402420.06175086,1635009.7814633,982970.132321447,1260013.51347877,"Shared decision (p²)",1102668.24272132,982970.132321447,1260013.51347877
"161","Utility-maximising",780,1529792.63731823,7619240.26492978,1140263.83422957,6139999.28667761,"Individual decision",4230545.69798349,1529792.63731823,7619240.26492978
"162","Utility-maximising",780,1529792.63731823,7619240.26492978,1140263.83422957,6139999.28667761,"Shared decision (p²)",3289547.07998032,1140263.83422957,6139999.28667761
"163","Basic screening",810,0,0,0,0,"Individual decision",0,0,0
"164","Basic screening",810,0,0,0,0,"Shared decision (p²)",0,0,0
"165","Pilot continuation",810,867479.220084978,1049194.37595725,601604.011688563,802567.070797477,"Individual decision",931523.52716412,867479.220084978,1049194.37595725
"166","Pilot continuation",810,867479.220084978,1049194.37595725,601604.011688563,802567.070797477,"Shared decision (p²)",681503.889968883,601604.011688563,802567.070797477
"167","Utility-maximising",810,961977.46992504,6966699.14290695,710540.63109422,5575610.3299813,"Individual decision",3618404.74545348,961977.46992504,6966699.14290695
"168","Utility-maximising",810,961977.46992504,6966699.14290695,710540.63109422,5575610.3299813,"Shared decision (p²)",2791222.33976006,710540.63109422,5575610.3299813
"169","Basic screening",840,0,0,0,0,"Individual decision",0,0,0
"170","Basic screening",840,0,0,0,0,"Shared decision (p²)",0,0,0
"171","Pilot continuation",840,343704.33419501,471810.462506104,235861.379630744,358110.702029002,"Individual decision",379346.254525669,343704.33419501,471810.462506104
"172","Pilot continuation",840,343704.33419501,471810.462506104,235861.379630744,358110.702029002,"Shared decision (p²)",275010.109024291,235861.379630744,358110.702029002
"173","Utility-maximising",840,404198.496158482,6323130.82572417,295763.091475582,5026108.92015392,"Individual decision",3015517.51914314,404198.496158482,6323130.82572417
"174","Utility-maximising",840,404198.496158482,6323130.82572417,295763.091475582,5026108.92015392,"Shared decision (p²)",2307531.94098864,295763.091475582,5026108.92015392
"175","Basic screening",870,0,0,0,0,"Individual decision",0,0,0
"176","Basic screening",870,0,0,0,0,"Shared decision (p²)",0,0,0
"177","Pilot continuation",870,0,0,0,0,"Individual decision",0,0,0
"178","Pilot continuation",870,0,0,0,0,"Shared decision (p²)",0,0,0
"179","Utility-maximising",870,0,5686083.22577963,0,4487464.13006863,"Individual decision",2421894.5342409,0,5686083.22577963
"180","Utility-maximising",870,0,5686083.22577963,0,4487464.13006863,"Shared decision (p²)",1838320.58394806,0,4487464.13006863
"181","Basic screening",900,0,0,0,0,"Individual decision",0,0,0
"182","Basic screening",900,0,0,0,0,"Shared decision (p²)",0,0,0
"183","Pilot continuation",900,0,0,0,0,"Individual decision",0,0,0
"184","Pilot continuation",900,0,0,0,0,"Shared decision (p²)",0,0,0
"185","Utility-maximising",900,0,5058549.54952928,0,3964289.06775101,"Individual decision",1837534.88178747,0,5058549.54952928
"186","Utility-maximising",900,0,5058549.54952928,0,3964289.06775101,"Shared decision (p²)",1383415.24765565,0,3964289.06775101
"187","Basic screening",930,0,0,0,0,"Individual decision",0,0,0
"188","Basic screening",930,0,0,0,0,"Shared decision (p²)",0,0,0
"189","Pilot continuation",930,0,0,0,0,"Individual decision",0,0,0
"190","Pilot continuation",930,0,0,0,0,"Shared decision (p²)",0,0,0
"191","Utility-maximising",930,0,4439402.0766679,0,3454650.46215218,"Individual decision",1262437.21106706,0,4439402.0766679
"192","Utility-maximising",930,0,4439402.0766679,0,3454650.46215218,"Shared decision (p²)",942642.296359642,0,3454650.46215218
"193","Basic screening",960,0,0,0,0,"Individual decision",0,0,0
"194","Basic screening",960,0,0,0,0,"Shared decision (p²)",0,0,0
"195","Pilot continuation",960,0,0,0,0,"Individual decision",0,0,0
"196","Pilot continuation",960,0,0,0,0,"Shared decision (p²)",0,0,0
"197","Utility-maximising",960,0,3828898.68573748,0,2958806.2344659,"Individual decision",696604.579883583,0,3828898.68573748
"198","Utility-maximising",960,0,3828898.68573748,0,2958806.2344659,"Shared decision (p²)",515834.69023172,0,2958806.2344659
