"","Full model estimate (SE)","Subgroup model estimate (SE)","z_score","p_value"
"cost_con","-0.003 (0)","-0.004 (0)",-3.20424830503305,0.001
"when_1","0.167 (0.064)","0.29 (0.123)",0.88599657585184,0.376
"when_2","0.075 (0.075)","0.142 (0.136)",0.429631731420499,0.667
"how_2","0.111 (0.065)","0.027 (0.125)",-0.599029773165582,0.549
"how_3","-0.05 (0.07)","-0.246 (0.128)",-1.34782618200939,0.178
"type_2","0.311 (0.085)","0.119 (0.163)",-1.03907329052059,0.299
"type_3","0.497 (0.082)","0.352 (0.152)",-0.840952950861834,0.4
"type_4","1.179 (0.106)","1.102 (0.194)",-0.347774792586299,0.728
"edu_1","0.338 (0.065)","0.423 (0.119)",0.626459478793639,0.531
"edu_2","0.047 (0.064)","0.104 (0.122)",0.410331292765102,0.682
"clin_1","-0.017 (0.062)","0.19 (0.115)",1.5802437013575,0.114
"clin_2","0.074 (0.064)","0.239 (0.117)",1.24081270158633,0.215
"wait_1","0.414 (0.077)","0.539 (0.143)",0.764806577193543,0.444
"wait_2","0.251 (0.07)","0.337 (0.132)",0.575358308143031,0.565
"asc","-5.109 (0.39)","-6.226 (0.736)",-1.34079320580548,0.18
"sd_cost_con","0.003 (0)","0.005 (0)",3.00785218758136,0.003
"sd_when_1","-0.44 (0.108)","-0.71 (0.172)",-1.32839295518886,0.184
"sd_when_2","-0.549 (0.114)","0.59 (0.25)",4.15047399600305,0
"sd_how_2","-0.268 (0.156)","0.676 (0.19)",3.8361566620608,0
"sd_how_3","-0.242 (0.166)","0.321 (0.261)",1.81856765252198,0.069
"sd_type_2","0.303 (0.158)","0.483 (0.212)",0.683184158048843,0.494
"sd_type_3","-0.27 (0.177)","-0.133 (0.27)",0.42373295596071,0.672
"sd_type_4","-0.978 (0.117)","-1.015 (0.205)",-0.156736973165732,0.875
"sd_edu_1","0.132 (0.244)","0.254 (0.268)",0.335680069247055,0.737
"sd_edu_2","0.199 (0.176)","0.446 (0.194)",0.942219301014106,0.346
"sd_clin_1","0.01 (0.165)","-0.105 (0.271)",-0.363493771969537,0.716
"sd_clin_2","0.238 (0.146)","-0.144 (0.367)",-0.966209709112467,0.334
"sd_wait_1","-0.795 (0.099)","1.054 (0.199)",8.31682117784844,0
"sd_wait_2","0.104 (0.241)","-0.378 (0.253)",-1.37820496950501,0.168
"sd_asc","-4.567 (0.345)","5.561 (0.623)",14.2131256078881,0
