"","Estimate","Std. Error","z-value","Pr(>|z|)"
"cost_con",-0.00278987964929243,0.000236371239092849,-11.8029573310166,0
"cost_mal",-0.00044920201318034,0.000574656927376203,-0.781687284674926,0.434398376157842
"cost_ind",0.00104220755640872,0.000601295666677418,1.73326969437124,0.0830477446304236
"when_1",0.181630298184372,0.0646412799055517,2.80981902663058,0.00495693643204076
"when_2",0.0710597351117893,0.0766775924362329,0.926734041250505,0.35406463850451
"how_2",0.104404614208839,0.0663542141240775,1.57344360998098,0.115616135785956
"how_3",-0.0554011007576199,0.0711197666284379,-0.778983162965939,0.435989632991375
"type_2",0.314762654363769,0.0855271973542112,3.68026387045255,0.00023299272703925
"type_3",0.517425522229081,0.0854751110065882,6.05352267035019,1.41712108714387e-09
"type_4",1.19461301544438,0.11097784638081,10.7644278061152,0
"edu_1",0.342596278089872,0.066140722989692,5.17980848415076,2.22113818226788e-07
"edu_2",0.055377311745388,0.0658140002759322,0.841421453083125,0.400111871263145
"clin_1",-0.0132357137553951,0.0634002917028321,-0.208764240666796,0.834632288032394
"clin_2",0.0643420860852074,0.0654238523125293,0.983465262452687,0.325378503888973
"wait_1",0.437303744223001,0.0791848746916589,5.52256660032405,3.34083098962878e-08
"wait_2",0.251938491469179,0.0721736691475183,3.49072583457317,0.000481710301832639
"asc",-5.19770408069729,0.416831337882272,-12.469561686759,0
"asc_mal",-0.0751632897639804,0.693871925265115,-0.108324442922607,0.913738334049569
"asc_ind",-1.26916312007148,0.726177689155004,-1.74773080889928,0.0805106513266967
"sd_cost_con",0.00339187877387505,0.000234313146579648,14.4758363898377,0
"sd_when_1",-0.406597741816387,0.122104900415974,-3.32990519161174,0.000868755595250237
"sd_when_2",-0.604426048103396,0.119995854432125,-5.03705774640144,4.72742194057574e-07
"sd_how_2",0.315504689335746,0.150884024765908,2.0910410484161,0.0365243844778771
"sd_how_3",0.277713283682751,0.146620060384507,1.89410155032304,0.0582115320015122
"sd_type_2",0.229988549836108,0.178516391322507,1.28833295437063,0.197630086369254
"sd_type_3",0.393014831233376,0.152623187673097,2.5750663265871,0.0100220865957312
"sd_type_4",-1.03562454338864,0.12860422330922,-8.05280352962091,8.88178419700125e-16
"sd_edu_1",0.268783801736287,0.149001232165801,1.80390321495595,0.0712464809062854
"sd_edu_2",0.26525314946518,0.140540606819972,1.88737728879284,0.05910959759614
"sd_clin_1",-0.025964070732025,0.126259451897052,-0.20564061020315,0.837071653060869
"sd_clin_2",-0.273003740460806,0.155788626682989,-1.75239840207549,0.0797053260259313
"sd_wait_1",0.818697462554667,0.101551343171,8.06190678518232,6.66133814775094e-16
"sd_wait_2",0.251664074739121,0.172729090260058,1.45698720673061,0.145119911683682
"sd_asc",-4.47840919997091,0.332274707373086,-13.4780321842025,0
