"","Policy","predicted_uptake","predicted_uptake_lower","predicted_uptake_upper","predicted_uptake_couple","predicted_uptake_couple_lower","predicted_uptake_couple_upper","Copayment"
"1",1,0.161274454974328,0.129666977513654,0.199141994281351,0.0260094498272664,0.0168135250575264,0.0396575338863537,0
"2",2,0.295897363279591,0.26186229567655,0.333694217392072,0.0875552495958144,0.068571861896993,0.111351830720908,0
"3",3,0.463800753782405,0.41523598038793,0.508573702168167,0.215111139209127,0.172420919408725,0.258647210537035,0
"...4",4,0.0790274279636766,0.0634541995042147,0.0947514081747037,0.00624533437055409,0.00402643543472069,0.00897782935108931,0
"1.1",1,0.160817046688632,0.129291867693634,0.198564371927259,0.0258621225056535,0.0167163870517081,0.0394278097988669,30
"2.1",2,0.295019998428262,0.261084144588883,0.332690852019825,0.0870367994726119,0.0681649305557088,0.110683203017677,30
"3.1",3,0.462570322189675,0.414096556557413,0.507173536246112,0.213971302970659,0.171475958152706,0.257224995868386,30
"...8",4,0.0815926326934316,0.0658178111642441,0.097490423004969,0.00665735770984524,0.0043319842664521,0.00950438257768778,0
"1.2",1,0.160335098672942,0.128876896807446,0.197968659891859,0.025707343866462,0.0166092545307171,0.0391915902993784,60
"2.2",2,0.294092069721752,0.260316222673596,0.331653063190281,0.0864901454732239,0.0677645357870493,0.109993754323496,60
"3.2",3,0.461276612596086,0.412900549451742,0.50567186379836,0.212776113328119,0.17048686373755,0.255704033837308,60
"...12",4,0.0842962190092204,0.0682982325416518,0.100475153797676,0.00710585253925044,0.00466464856831355,0.0100952565306666,0
"1.3",1,0.159827541336644,0.128418822147308,0.197383965002575,0.0255448429697167,0.016491393881702,0.0389604296401378,90
"2.3",2,0.293112108456089,0.259460304196081,0.330579756530841,0.0859147081235744,0.0673196494535227,0.10928297542799,90
"3.3",3,0.459917774077293,0.411722932607837,0.504246777337664,0.211524358912212,0.169515773235198,0.25426481245542,90
"...16",4,0.0871425761299729,0.0709084642828523,0.103442782499099,0.00759382857456813,0.00502801030695254,0.010700409251156,0
"1.4",1,0.159293472923021,0.127977516736684,0.196765403454912,0.0253744105158773,0.0163782447900882,0.0387166239967742,120
"2.4",2,0.292079097117132,0.258546759695337,0.329502570293189,0.0853101989727591,0.0668464269489585,0.108571943829818,120
"3.4",3,0.458491888967176,0.410334025779418,0.502705907754726,0.210214812248689,0.168374012712344,0.252713229691503,120
"...20",4,0.0901355409926706,0.0736277720130284,0.106721987747509,0.0081244157500414,0.00542104881160248,0.0113895826687795,0
"1.5",1,0.158732132436797,0.127472566744178,0.196123424113605,0.0251958898679329,0.0162492552723489,0.0384643974860449,150
"2.5",2,0.290992365980321,0.257538071057615,0.328391417995373,0.0846765570588248,0.0663258580440771,0.107840923413011,150
"3.5",3,0.456996987746385,0.408968800566039,0.501045209205378,0.20884624680927,0.167255479836424,0.251046301667661,150
