"","obsID","predicted_prob","predicted_prob_lower","predicted_prob_upper","Policy","cost_con","when_1","when_2","when_3","how_1","how_2","how_3","type_1","type_2","type_3","type_4","edu_1","edu_2","edu_3","clin_1","clin_2","clin_3","wait_1","wait_2","wait_3","asc"
"1",1,0.850558648028882,0.827426510316155,0.871976298276201,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"11",1,0.149441351971118,0.128023701723799,0.172573489683845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2",2,0.877019071266228,0.85528322824463,0.896048885342261,2,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"21",2,0.122980928733772,0.103951114657739,0.14471677175537,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3",3,0.891513904737249,0.870615630035853,0.909629213071456,3,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"31",3,0.108486095262751,0.0903707869285439,0.129384369964147,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.1",4,0.846596101026618,0.823329078931354,0.868368064978614,1,30,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.110",4,0.153403898973382,0.131631935021386,0.176670921068646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.1",5,0.87356591736574,0.851511282295901,0.892797521588017,2,30,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.110",5,0.12643408263426,0.107202478411983,0.148488717704099,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.1",6,0.88823734518261,0.867158411620835,0.906572562939118,3,30,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.110",6,0.11176265481739,0.0934274370608815,0.132841588379165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1.2",7,0.842458105784352,0.818656869468871,0.864537585364299,1,60,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"1.210",7,0.157541894215648,0.135462414635701,0.181343130531129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.2",8,0.869941003852218,0.847636178553223,0.889385062480256,2,60,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"2.210",8,0.130058996147782,0.110614937519744,0.152363821446777,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"3.2",9,0.884823135250695,0.863640710851492,0.903414355201382,3,60,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
"3.210",9,0.115176864749305,0.0965856447986179,0.136359289148509,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
