"","Estimate","Std. Error","z-value","Pr(>|z|)","attribute","wtp_sgd","ci_lower","ci_upper"
"Screening available at any time",61.4638077190667,23.6074359207418,2.60357829310314,0.00922561935300403,"Screening available at any time",61.4638077190667,15.1932333144127,107.734382123721
"Married couples only",27.4227030817984,27.6505743365465,0.991758896145354,0.32131515305126,"Married couples only",27.4227030817984,-26.7724226178327,81.6178287814294
"Stepwise screening",40.6184356076403,23.9315526996375,1.69727539693885,0.0896446064122043,"Stepwise screening",40.6184356076403,-6.2874076836493,87.5242788989298
"Individual screening",-18.1924112427086,25.871700742157,-0.703178017712021,0.48194481667438,"Individual screening",-18.1924112427086,-68.9009446973364,32.5161222119192
"Extremely severe & severe conditions",114.037855891936,32.4568901810023,3.51351763080139,0.000442215065302731,"Extremely severe & severe conditions",114.037855891936,50.4223511371716,177.653360646701
"Extremely severe, severe & moderate conditions",182.395681251264,31.9857472145194,5.70240488765162,1.18128826720465e-08,"Extremely severe, severe & moderate conditions",182.395681251264,119.703616710806,245.087745791722
"All conditions regardless of severity",432.843112418858,43.8976631223685,9.86027687196631,0,"All conditions regardless of severity",432.843112418858,346.803692699016,518.882532138701
"In-person appointment pre and post-test",124.041104096929,24.8408321026423,4.99343595191943,5.93144619198682e-07,"In-person appointment pre and post-test",124.041104096929,75.3530731757496,172.729135018108
"In-person appointment only for positive tests",17.2426991978198,23.7444111360636,0.726179272209076,0.467728877138236,"In-person appointment only for positive tests",17.2426991978198,-29.2963466288649,63.7817450245044
"OB/GYN",-6.16048463294122,22.9824801713951,-0.268051341151979,0.788659799701318,"OB/GYN",-6.16048463294122,-51.2061457688756,38.8851765029931
"GP/polyclinic",27.0951504920653,23.751122941544,1.14079450301157,0.253955448682039,"GP/polyclinic",27.0951504920653,-19.4570504733609,73.6473514574915
"Up to 4 weeks wait",152.107742877206,29.2929230159011,5.1926447488575,2.07327562673498e-07,"Up to 4 weeks wait",152.107742877206,94.6936137660397,209.521871988372
"Up to 8 weeks wait",92.3219823993476,25.9166483480917,3.56226550437204,0.000367668270081278,"Up to 8 weeks wait",92.3219823993476,41.5253516370879,143.118613161607
